A,Agilent Technologies Inc. Common Stock,$143.825,2.795,1.982%,43435264629.00,United States,1999,857829,Capital Goods,Electrical Products,/market-activity/stocks/a
AA,Alcoa Corporation Common Stock ,$59.00,0.83,1.427%,10861885132.00,,2016,3274903,Basic Industries,Metal Fabrications,/market-activity/stocks/aa
AAC,Ares Acquisition Corporation Class A Ordinary Shares,$9.76,0.02,0.205%,1220000000.00,,2021,54683,Finance,Business Services,/market-activity/stocks/aac
AAIC,Arlington Asset Investment Corp Class A (new),$3.405,-0.035,-1.017%,107187422.00,United States,,13227,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/aaic
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$24.94,-0.0001,0.00%,0.00,United States,,5409,,,/market-activity/stocks/aain
AAN,Aarons Holdings Company Inc. Common Stock ,$21.295,-0.895,-4.033%,670435745.00,United States,2020,270494,Miscellaneous,Diversified Commercial Services,/market-activity/stocks/aan
AAP,Advance Auto Parts Inc.,$235.45,0.65,0.277%,14681526425.00,United States,,313180,Consumer Services,Other Specialty Stores,/market-activity/stocks/aap
AAQC,Accelerate Acquisition Corp. Class A Common Stock,$9.71,0.02,0.206%,485500000.00,,2021,25991,,,/market-activity/stocks/aaqc
AAT,American Assets Trust Inc. Common Stock,$35.90,0.06,0.167%,2170947134.00,United States,2011,55915,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/aat
AB,AllianceBernstein Holding L.P.  Units,$48.28,-0.30,-0.618%,4767850265.00,United States,,199159,Finance,Investment Managers,/market-activity/stocks/ab
ABB,ABB Ltd Common Stock,$35.54,0.36,1.023%,69298561729.00,Switzerland,,1374580,Consumer Durables,Electrical Products,/market-activity/stocks/abb
ABBV,AbbVie Inc. Common Stock,$137.23,0.23,0.168%,242606236212.00,United States,2012,6612413,Health Care,Other Pharmaceuticals,/market-activity/stocks/abbv
ABC,AmerisourceBergen Corporation Common Stock,$136.315,-1.345,-0.977%,28500050037.00,United States,,943215,Health Care,Other Pharmaceuticals,/market-activity/stocks/abc
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.75,-0.07,-2.482%,43281341554.00,,2013,9402113,Consumer Non-Durables,Beverages (Production/Distribution),/market-activity/stocks/abev
ABG,Asbury Automotive Group Inc Common Stock,$170.315,2.135,1.269%,3940357427.00,United States,2002,353533,Consumer Services,Other Specialty Stores,/market-activity/stocks/abg
ABM,ABM Industries Incorporated Common Stock,$41.83,-0.26,-0.618%,2815911062.00,United States,,142806,Technology,Diversified Commercial Services,/market-activity/stocks/abm
ABR,Arbor Realty Trust Common Stock,$17.30,-0.27,-1.537%,2603748402.00,United States,2004,1110020,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/abr
ABT,Abbott Laboratories Common Stock,$130.146,2.946,2.316%,230135475867.00,United States,,3514171,Health Care,Medical/Dental Instruments,/market-activity/stocks/abt
AC,Associated Capital Group Inc. Common Stock,$42.1651,-0.6049,-1.414%,930081444.00,United States,2015,1225,Finance,Investment Bankers/Brokers/Service,/market-activity/stocks/ac
ACA,Arcosa Inc. Common Stock ,$45.46,-1.03,-2.216%,2197067207.00,,2018,78591,Capital Goods,Engineering & Construction,/market-activity/stocks/aca
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,$9.93,-0.01,-0.101%,222680250.00,,2021,179000,,,/market-activity/stocks/acaq
